edge_type,from_type,to_type,weight,is_range,weight_kind,status,scope,notes,source,observed_type_count,observed_type_min,observed_type_max,observed_at
PRESENTED_AT,Person|Company,Event:Live,15,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PREVIOUSLY_MARRIED_TO,Person,Person,10,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PRODUCED,Artist,Recording,18,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PRODUCED,Person|Company,Stage_Production,12; 16; 22; 28; 35,yes,tiered,writer implemented; registry stale,Universe registry,"associate_producer=28; co_producer=22; executive_producer=28; in_association=35; lead_producer=12; producer=16; MergeProduced uses Stage_Production, not Film_TV:stage.",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/platform/graph/stage.go,,,,
PRODUCES,Company,Event:Live,8,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PRODUCTION_OF,Stage_Production,Theatrical_Work,50,no,fixed,documented proposal,Documentation only,No matching endpoint-specific writer found in this audit; do not infer deployment.,guides/ontology/edges.mdx,,,,
PUBLISHED_BY,Video_Game,Company,45,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,12,20,45,2026-09-22T09:06:43.084824+00:00
PUBLISHED_BY,Work:Publication,Company,20,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,12,20,45,2026-09-22T09:06:43.084824+00:00
RAISED,Company,Funding_Round,10,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,396,10,10,2026-09-22T09:06:43.084824+00:00
RECEIVED,User,Note,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
RECEIVED_HONOR,Person,Honor,20,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,142,20,20,2026-09-22T09:06:43.084824+00:00
RECEIVED_INTRO,Person,Introduction,100,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
RECORDED_AT,Recording,Place,35,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
RECORDING_OF,Recording,Music_Work,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
REGISTERED_FOR,Person,Event:Live,65,no,fixed,registry:live,Universe registry,Registry note: App LSI path #12864,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
RELATED_PERSON_OF,Person,Company:issuer,15; 20,yes,tiered,registry:planned,Universe registry,director=15; executive_officer=15; promoter=20,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
RELATED_TO,Person,Person,8,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
RELATED_TO,User,Person|Entity,,no,unspecified,future user-defined contract,User graph,Do not inherit the Universe Person→Person weight.,guides/ontology/edges.mdx#user-graph-edges,,,,
RELEASED,Artist,Release_Group,10,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,20,10,10,2026-09-22T09:06:43.084824+00:00
RELEASED_ON,Release,Company:Music_Label,50,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,113,50,50,2026-09-22T09:06:43.084824+00:00
RELEASE_OF,Game_Release,Video_Game,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,19,30,30,2026-09-22T09:06:43.084824+00:00
RELEASE_OF,Release,Release_Group,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,19,30,30,2026-09-22T09:06:43.084824+00:00
REPORTED_TO,Person,Person,15; 25,yes,tiered,registry:live,Universe registry,current=15; past=25,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,6,15,15,2026-09-22T09:06:43.084824+00:00
REPRESENTED_BY,Person,Person|Company,10; 18,yes,tiered,registry:planned,Universe registry,company=10; person=18,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
SAME_AS,Company:Music_Label|Person:Music_Artist,Company|Person,1,no,fixed,registry:live,Universe registry,Registry note: not ported: the identity backbone replaces the bridge,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
SAVED,User,Document,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
SESSION_OF,MediaAppearance,Event:Live,30,no,fixed,documented proposal,Documentation only,No matching endpoint-specific writer found in this audit; do not infer deployment.,guides/ontology/edges.mdx,,,,
SIBLING,Person,Person,3,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
SOUNDTRACK_FOR,Release_Group|Music_Work,Video_Game,55,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
SOURCED,Person,Funding_Round,25,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
SPECIALIZES_IN,Company,SubDomainExpertise,10–50,yes,formula range,registry:live,Universe registry,"New node=10; matched=min(round(10 + distance*160),50), assuming nonnegative vector distance.",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,1481,10,45,2026-09-22T09:06:43.084824+00:00
SPOKE_AT,Person,Event:Live,15; 45,yes,tiered,registry:live,Universe registry,"default=15; hub=45; Registry note: hub tier when speaker count ≥ 50; writer = the Deep Bio appearance replay (2026-09-07), page writer line pending Mark",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,25,15,15,2026-09-22T09:06:43.084824+00:00
SPONSORS,Company,Event:Live,20; 22; 25; 28; 30; 32,yes,tiered,registry:planned,Universe registry,bronze=32; default=30; gold=25; platinum=22; silver=28; title=20,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
STAGED_AT,Stage_Production,Place:Venue:Theatre,50,no,fixed,documented proposal,Documentation only,No matching endpoint-specific writer found in this audit; do not infer deployment.,guides/ontology/edges.mdx,,,,
STEP_PARENT_OF,Person,Person,,no,unspecified,registry:proposed,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
STEP_SIBLING,Person,Person,5,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
STRATEGIC_PARTNERS,Person,Person,10,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
STUDIED_UNDER,Person,Person,10,no,fixed,registry:live,Universe registry,"Registry note: derived from TAUGHT_AT, which nothing writes yet",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
SUBSIDIARY_OF,Company:Music_Label,Company:Music_Label,15,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,33,15,15,2026-09-22T09:06:43.084824+00:00
SUB_EVENT_OF,Event:Live,Event:Live,5,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
SUCCEEDED_BY,Person,Person,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,2,30,30,2026-09-22T09:06:43.084824+00:00
SUCCEEDS,Event:Live,Event:Live,5,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
SUPPORTING_MUSICIAN_FOR,Person:Music_Artist,Artist,18,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
TAUGHT_AT,Person,Company:School,25,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
TRIBUTE_TO,Artist,Artist,40,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
UPLOADED,User,Document,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
USED_IN,Recording,Video_Game,60,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
USES_ENGINE,Video_Game,Game_Engine,80,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,3,80,80,2026-09-22T09:06:43.084824+00:00
VENTURE_PARTNER_AT,Person,Company:VC_Firm,30,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
VOLUNTEERED_AT,Person,Company:Organization,38; 50,yes,tiered,registry:live,Universe registry,current=38; past=50,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,98,38,50,2026-09-22T09:06:43.084824+00:00
WAS_ADVISOR_TO,Person,Company,12,no,fixed,registry:live,Universe registry,Registry note: past-tense label for a finished ADVISOR_TO (Denis 2026-08-31),https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,89,12,12,2026-09-22T09:06:43.084824+00:00
WAS_FOUNDED,contextFounded,Company,1,no,fixed,historical only,Legacy graph audit,Accepted legacy Xano contract; absent from current Universe registry and not observed in dev snapshot. Legacy writer not re-audited.,guides/ontology/edge-weights.mdx,,,,
WON_AWARD,Person,Film_TV_Award,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,102,30,30,2026-09-22T09:06:43.084824+00:00
WON_AWARD,Person,Stage_Award,30,no,fixed,registry:live,Universe registry,Registry note: page row says proposed and allows Company; writer draws Person only (D64),https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,102,30,30,2026-09-22T09:06:43.084824+00:00
WON_AWARD,Person|Company,Game_Award,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,102,30,30,2026-09-22T09:06:43.084824+00:00
WORKED_AT,Person,Company,25; 28; 30; 32; 35; 38; 40,yes,tiered,registry:live,Universe registry,c_suite=25; director=35; founder=28; individual_contributor=40; manager=38; operating_partner=28; president=28; svp_evp=30; vp=32; Registry note: past-tense label for a finished WORKS_AT (Denis 2026-08-31); same +20 value,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,1693,25,40,2026-09-22T09:06:43.084824+00:00
WORKED_ON,Person,Film_TV,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,195,30,30,2026-09-22T09:06:43.084824+00:00
WORKED_ON,Person,Video_Game,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,195,30,30,2026-09-22T09:06:43.084824+00:00
WORKED_ON,Person,Stage_Production,30,no,fixed,writer implemented,Universe writer,MergeStageWorkedOn; endpoint pair + role + character key; weight stamped on creation.,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/platform/graph/stage.go,195,30,30,2026-09-22T09:06:43.084824+00:00
WORKS_AT,Person,Company,5; 8; 10; 12; 15; 18; 20,yes,tiered,registry:live,Universe registry,c_suite=5; director=15; founder=8; individual_contributor=20; manager=18; operating_partner=8; president=8; svp_evp=10; vp=12,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,1136,5,40,2026-09-22T09:06:43.084824+00:00
WROTE,Person|Music_Group,Theatrical_Work,10,no,fixed,documented proposal,Documentation only,No matching endpoint-specific writer found in this audit; do not infer deployment.,guides/ontology/edges.mdx,,,,
WROTE,Artist,Music_Work,10,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
WROTE_LYRICS,Person|Music_Group,Theatrical_Work,12,no,fixed,documented proposal,Documentation only,No matching endpoint-specific writer found in this audit; do not infer deployment.,guides/ontology/edges.mdx,,,,
WROTE_LYRICS,Artist,Music_Work,12,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
